city,station,lat,long,datasource,obs.period,date,pollutant,concentration,unit
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-24,PM2.5,30.62697651,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-25,PM2.5,21.88788779,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-26,PM2.5,16.01206611,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-27,PM2.5,13.1050809,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-28,PM2.5,49.69176414,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-29,PM2.5,77.15741351,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-06-30,PM2.5,16.850018939999998,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-07-01,PM2.5,13.10106276,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-07-02,PM2.5,13.07965356,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-07-03,PM2.5,15.55685208,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-07-04,PM2.5,11.84750993,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-07-05,PM2.5,11.39980376,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-07-06,PM2.5,13.50239331,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-07-07,PM2.5,8.510775796,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-07-08,PM2.5,15.20931751,ug/m3
Dakar,Diamdiadio,14.7452,-17.5262,Openmap,2020-02-23 ~ 2021-02-22,2020-07-09,PM2.5,14.51489612,ug/m3
