city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-23,PM2.5,6.59520388349515,ug/m3,NA,00:00:00,2017-10-23 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-23,PM2.5,6.01949806949807,ug/m3,NA,00:00:00,2017-10-23 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-24,PM2.5,5.86675276752768,ug/m3,NA,00:00:00,2017-10-24 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-24,PM2.5,4.33605882352941,ug/m3,NA,00:00:00,2017-10-24 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-24,PM2.5,4.36343807763401,ug/m3,NA,00:00:00,2017-10-24 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-24,PM2.5,3.76445065176909,ug/m3,NA,00:00:00,2017-10-24 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-25,PM2.5,6.36707635009311,ug/m3,NA,00:00:00,2017-10-25 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-25,PM2.5,4.73906890130354,ug/m3,NA,00:00:00,2017-10-25 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-25,PM2.5,4.91085661080074,ug/m3,NA,00:00:00,2017-10-25 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-25,PM2.5,4.33598880597015,ug/m3,NA,00:00:00,2017-10-25 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-26,PM2.5,8.41732142857143,ug/m3,NA,00:00:00,2017-10-26 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-26,PM2.5,6.27007874015748,ug/m3,NA,00:00:00,2017-10-26 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-26,PM2.5,6.85148367952522,ug/m3,NA,00:00:00,2017-10-26 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-26,PM2.5,6.27582317073171,ug/m3,NA,00:00:00,2017-10-26 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-27,PM2.5,10.2604006968641,ug/m3,NA,00:00:00,2017-10-27 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-27,PM2.5,6.87219130434783,ug/m3,NA,00:00:00,2017-10-27 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-27,PM2.5,7.37888888888889,ug/m3,NA,00:00:00,2017-10-27 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
