"station","city","datasource","pollutant","unit","concentration","date","station_area","lat","long","obs.period"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",15.9134583333333,"2014-06-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",20.5041666666667,"2015-06-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",46.8920833333333,"2019-06-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",36.5581666666667,"2020-06-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",23.256875,"2011-07-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",74.7639583333333,"2012-07-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",22.8088333333333,"2014-07-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",75.3934782608696,"2019-07-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",46.540875,"2020-07-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",62.454,"2011-08-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",49.9354583333333,"2012-08-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",76.8442608695652,"2016-08-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",14.4740416666667,"2019-08-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",42.651625,"2020-08-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",61.0920416666667,"2011-09-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",52.2825,"2012-09-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",105.526333333333,"2014-09-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",26.5160416666667,"2016-09-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",62.2762727272727,"2019-09-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",37.2548333333333,"2020-09-10","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",46.8832916666667,"2012-01-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",7.85591666666667,"2014-01-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",15.4367916666667,"2015-01-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",26.6100434782609,"2017-01-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",33.6878095238095,"2019-01-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",13.8847083333333,"2020-01-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",42.9367916666667,"2011-10-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",11.2287368421053,"2014-10-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",46.3662777777778,"2016-10-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",29.811875,"2019-10-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",19.7467916666667,"2020-10-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
"Bedfordview","Ekurhuleni","SAAQIS","NO2","ppb",21.85375,"2011-11-11","Traffic - Roadside",-26.178666,28.13314,"2011-01-17 ~ 2020-11-08"
