"station","city","datasource","pollutant","unit","date","lat","long","obs.period","concentration","station_area"
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-23,8.9843,38.7364,"2021/02/25 - 2021/03/28",19.9782524271845,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-24,8.9843,38.7364,"2021/02/25 - 2021/03/28",26.0101398601399,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-25,8.9843,38.7364,"2021/02/25 - 2021/03/28",36.571582733813,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-26,8.9843,38.7364,"2021/02/25 - 2021/03/28",33.7318051575931,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-27,8.9843,38.7364,"2021/02/25 - 2021/03/28",23.4006006006006,NA
"AQ11","Addis Ababa","OpenAQ","PM10","ug/m3",2021-03-28,8.9843,38.7364,"2021/02/25 - 2021/03/28",24.0182844243792,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-25,8.9843,38.7364,"2021/02/25 - 2021/03/28",25.787037037037,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-26,8.9843,38.7364,"2021/02/25 - 2021/03/28",21.3071310116086,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-27,8.9843,38.7364,"2021/02/25 - 2021/03/28",24.2402560455192,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-28,8.9843,38.7364,"2021/02/25 - 2021/03/28",24.6398671096346,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-01,8.9843,38.7364,"2021/02/25 - 2021/03/28",22.7171900826446,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-02,8.9843,38.7364,"2021/02/25 - 2021/03/28",19.2,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-03,8.9843,38.7364,"2021/02/25 - 2021/03/28",19.1354058721934,NA
"AQ11","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-03-04,8.9843,38.7364,"2021/02/25 - 2021/03/28",23.5322766570605,NA
